DN,DST,FIELD POS,FORMATION,FRONT,FRONT ADJUST,#RUSHERS,BLITZ?,BLITZ,STUNT?,STUNT,COVERAGE,VARIATION,
1,10,-48,,40 REG,,5,Y,M BLAST WK.,N,,11,HBO,
2,3,54,,40 REG,,5,Y,M BLAST STR.,N,,11,,
3,3,54,,40 REG,,4,N,,N,,11,HBO,
1,10,52,,40 UNDER,,4,N,,N,,11,HBO,
1,10,30,,40 REG,,5,Y,2 WK. FIRE,N,,CUT WK,S FS ROTATE,
2,8,28,,40 REG,,5,Y,M BLAST WK.,N,,31 HOLD,HBO,
1,10,-48,,40 WIDE,,4,N,,N,,CUT WK,,
2,10,-48,,40 REG,,6,Y,W BLAST/2 WK. AIM,N,,,,
1,10,48,,40 REG,,5,Y,MAC AIM STR,,,MATCH,,
1,10,-24,,40 OVER STR.,,5,Y,W BLAST ,N,,11,,
1,10,-34,,40 OVER STR.,,4,N,,N,,11,,
2,10,-37,,40 WIDE,,5,Y,S JET/W BLAST,Y,T-R TWIST/W-N TWIST,MATCH,,
1,10,-35,,40 HEADS,,4,N,,N,,,,
1,10,-35,,40 TIGHT HEADS,,4,N,,Y,N-Q TWIST WK.,MATCH,,
2,7,-38,,40 TIGHT HEADS,,4,N,,Y,N-Q TWIST WK.,MATCH,,
1,10,-23,,40 REG,,4,N,,N,,11,,
2,4,-29,,40 OVER WK. ,,5,Y,W AIM,N,,11,,
1,10,-16,,40 REG,,4,N,,N,,31 HOLD,HBO,
2,8,-18,,40 REG,,5,Y,S BLAST (DEPTH),N,,MATCH,,
1,10,-5,,40 REG,,5,Y,S BLAST (DEPTH),N,,MATCH,,
2,6,-9,,40 REG,,5,Y,W AIM STR.,N,,11,HBO,
1,10,-24,,40 REG,,4,N,,N,,11,NO ADJUST,
2,8,-26,,40 REG,,5,Y,M AIM STR.,N,,MATCH,,
1,10,-51,,40 REG,,4,N,,N,,CUT WK,FH??,
2,7,-54,,40 REG,,4,N,,N,,11,HBO, SPIN SNAP
1,10,48,,40 REG,,4,N,,N,,11,HBO,
2,7,45,,40 TIGHT,,5,Y,W JET,N,,11,,
2,2,40,,40 REG,,4,N,,N,,11,,
3,2,40,,SHART YARD,,7,Y,ALL GO,N,,0,,
1,10,-19,,40 REG,,4,N,,N,,11,,
2,5,-23,,40 REG,,6,Y,MW JET,Y,T-E TWISTS,10,,
1,10,-35,,40 REG,,4,N,,N,,11,,
2,1,-44,,40 REG,,5,Y,M BLAST WK.,N,,10,,
3,1,-44,,SHORT YARD,,7,Y,ALL-GO,N  ,,0,,
1,10,51,,40 REG,,4,N,,N,,,,
2,4,45,,40 REG,,5,Y,W BLAST,,,MATCH,,
3,4,45,,40 REG,,5,Y,W BLAST,Y,RT-N TWIST STR.,MATCH,,
1,10,31,,40 REG,,6,Y,SW JET,N,,0,HBO,
2,8,29,,40 REG,,5,Y,2 WK. FIRE,N,,,,
1,10,21,,40 REG,,7,Y,SW-M JET,N,,0,,
2,7,18,,40 REG,,7,Y,SM-W JET,N,,11,HBO,
1,10,-35,,40 REG,,4,N,,N,,11,,
2,7,-38,,40 REG,,4,N,,Y,T-R TWIST/  N  ,MATCH,,
1,10,-20,,40 REG,,4,N,,N,,13 CUT,,
2,10,-20,,40 REG,,4,N,,N,,MATCH,,
1,10,-20,,40 REG,,4,N,,N,,MATCH,,
2,5,-25,,40 REG,,4,N,,N,,41 HOLD,HBO,
1,10,-27,,40 REG,,4,N,,N,,41 HOLD,HBO,
2,6,-31,,40 REG,,4,N ,,N,,11,,
1,10,-35,,40 REG,,4,N,,N,,,,
1,10,-54,,40 OVER STR.,,4,N,,N,,,,
1,10,44,,40 REG,,4,N,,N,,,,
2,10,44,,40 REG,,4,N,,N,,,,
3,1,35,,40 REG,,5,Y,M BLAST STR.,N,,,,
1,10,28,,40 UNDER,,5,Y,M BLAST STR.,N,,,,
2,10,28,,40 UNDER,,5,Y,S BLAST,N,,,,
3,2,20,,40 REG,,7,Y,MAC JET STR/SW JET WK.,N,,,,
