DN,DST,FIELD POS,FORMATION,R/P,PERSONNEL,MOTION,PLAY,VARIATION,GAIN,HASH,TARGET,COMPLETION
1,10,-19,DEUCE,P,A,,60 DRAG UNDER,,0,R,,
2,10,-19,ACE,P,B,,69 LEVELS,,9,R,,
1,10,-25,ACE,R,B,,29 STRETCH,,2,R,,
2,8,-27,ACE,P,B,,69 FLOOD,,8,L,,
1,10,-35,DEUCE,R,A,,42 ZONE,,3,L,,
2,7,-38,ACE,R,B,,40 DRAW,,3,R,,
1,10,50,TRIPS,R,A,,41 ZONE,,0,L,,
2,10,50,QUADS,P,A,,68 BENCH SWITCH,,1,L,,
1,10,-35,TRIPS,R,A,,42 ZONE,,0,R,,
2,10,-35,ACE,P,B,,61 DBL INS,,0,R,,
1,10,-35,QUADS,R,B,,44 POWER,,4,R,,
2,6,-39,QUADS,P,B,,60 Y CORNER,,0,R,,
1,10,-31,QUADS,P,A,,61 LEVELS,,3,L,,
2,7,-34,ACE,P,A,,42 STACK OUT,,0,L,,
1,10,-38,QUADS,R,A,,44 POWER,,0,L,,
2,10,-38,QUADS,P,A,,61 VERT,,-5,L,,
1,10,-35,ACE,P,A,,61 SLANTS,,0,R,,
2,10,-35,QUADS,P,A,,61 STICK,,12,R,,
1,10,-47,ACE,P,A,,60 CURL-SIDELINE,,0,M,,
1,20,-37,ACE,P,A,,60 STICK,,39,M,,
1,10,44,ACE,P,B,,61 SLANTS,,11,R,,
1,10,33,ACE,P,B,,61 STICK-GO,,-5,R,,
2,15,38,QUADS,P,B,,61 LEVELS,,0,L,,
,,,,N,,,,,,,,
1,10,-35,TRIPS,R,A,,28 STRETCH,,1,M,,
2,9,-36,QUADS,P,A,,68 FLOOD,,-1,R,,
1,10,-48,TRIPS,R,B,,29 TOSS,,1,L,,
2,9,-49,ACE,P,B,,79 FLOOD,,0,L,,
1,10,-49,DEUCE,P,A,,44 VERT,,0,L,,
2,10,-49,TRIPS,P,B,,28 TOSS PASS,,-7,L,,
1,10,-54,ACE,P,A,,60 CHAIR-HOOKS,,11,L,,
1,10,45,ACE,P,B,,60 DOUBLE POST,,4,R,,
2,6,41,ACE,P,B,,69 X DAGGER,,0,R,,
1,10,-22,TRIPS,R,B,,45 POWER-TOSS,,6,L,,
2,4,-28,TRIPS,R,A,,44 POWER-TOSS,,3,L,,
3,1,-31,DOUBLE TIGHT,R,B,,SNEAK,,3,R,,
1,10,-39,ACE,R,B,,42 ZONE,,5,R,,
1,5,-44,ACE,P,A,,61 DAGGER,,0,L,,
2,5,-44,FULL HOUSE,R,C,,25 POWER,,0,L,,
,,,,N,,,,,,,,
1,10,43,TRIPS,P,C,,61 VERTS,,3,R,,
2,7,40,TRIPS,P,C,,60 VERTS,,11,R,,
1,10,29,TRIPS,R,C,,45 POWER-TOSS,,7,L,,
2,3,22,ACE,P,C,,60 CHAIR-HOOKS,,20,L,,
1,2,2,ACE,R,C,,42 ZONE,,2,R,,
1,10,50,QUADS,R,C,,45 COUNTER,,-6,R,,
2,16,-54,TRIPS,P,C,,60 FLOOD,,0,R,,
,,,,N,,,,,,,,
1,10,-38,TRIPS,R,C,,44 POWER-TOSS,,10,R,,
1,10,-26,ACE,R,C,,42 ZONE,,-3,L,,
2,13,-23,QUADS,P,C,,60 VERTS,,1,L,,
1,10,47,QUADS,R,C,,48 STRETCH,,-1,R,,
2,11,48,DEUCE,P,C,,60 GO,,-2,R,,
